id_usuario,nombre,apellido,fecha_nacimiento,pais,ciudad,biblioteca,sexo,cupones
300,Jael,Camacho,1988-01-07,Russian Federation,Novgorod,0,M,0
334,Enzo,Marechal,1988-01-08,France,Vichy,0,H,0
363,Florentin,Vidal,1988-01-13,France,Dieppe,0,M,0
594,Jaime,Bryan,1988-01-19,Belgium,LouveignŽ,0,M,0
551,Heather,Houston,1988-01-28,Belgium,Montbliart,0,H,0
499,Isadora,Parks,1988-02-02,United Kingdom,Warrington,0,H,0
557,Olivia,Jackson,1988-02-02,Belgium,Nives,0,H,0
693,Glenna,Benson,1988-02-04,Austria,Sierning,0,M,0
325,Clara,Maillard,1988-02-22,France,Marseille,0,H,0
679,Jessamine,Osborne,1988-02-24,Austria,Rum,0,M,0
784,Kellie,Lamb,1988-02-24,United States,Lawton,0,M,0
791,Andrew,Kirkland,1988-03-01,United States,Fayetteville,0,H,0
238,Elmo,Hoover,1988-03-26,Russian Federation,Saint Petersburg,0,H,0
722,Catherine,Ford,1988-03-27,United States,Rock Springs,0,M,0
537,Kalia,Casey,1988-04-05,Belgium,Jauche,0,H,0
271,Sierra,Burt,1988-04-08,Russian Federation,Kaluga,0,H,0
800,Britanni,Bauer,1988-04-10,United States,Cleveland,0,H,0
284,Drake,Harrington,1988-04-10,Russian Federation,Stupino,0,H,0
675,Vielka,Finch,1988-04-10,Austria,Rum,0,M,0
33,Zeus,Burns,1988-04-20,Spain,Santa Coloma de Gramenet,0,H,0
132,Naomi,Holloway,1988-04-20,Spain,Zamora,0,H,0
61,Vladimir,Cote,1988-05-08,Spain,Badajoz,0,M,0
160,Lareina,Ferguson,1988-05-08,Spain,Ceuta,0,H,0
564,Kerry,Delgado,1988-05-23,Belgium,GomzŽ-Andoumont,0,M,0
424,Oscar,Barker,1988-05-27,United Kingdom,Paisley,0,H,0
245,Nicholas,Morrison,1988-06-28,Russian Federation,Starodub,0,H,0
548,Zoe,Gardner,1988-07-01,Belgium,Schore,0,M,0
